"Reference","Value","DNP","Manufacturer_Name","Manufacturer Part Number","JLCPCB Part Number","DigiKey Part Number"
"BZ1","Buzzer","","","","",""
"C1","10u","","Murata Electronics","GRM21BZ71E106KE15L"," C237493",""
"C2","0.1u","","YAGEO","CC0402KRX7R9BB104","C131394",""
"C3","1u","","Murata Electronics","GRM155R61E105KA12D","C77009",""
"C4","1u","DNP","Murata Electronics","GRM219R71E105KA88D","C86035",""
"C5","1u","DNP","Murata Electronics","GRM219R71E105KA88D","C86035",""
"C6","10u","DNP","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C7","10u","DNP","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C8","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C9","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C10","0.1u","","Murata Electronics","GRM155R71H104KE14D","C77020",""
"C11","0.1u","","Murata Electronics","GRM155R71H104KE14D","C77020",""
"C12","1nF","","Murata Electronics","GRM1555C1H102FA01D","C161523",""
"C13","1nF","","Murata Electronics","GRM1555C1H102FA01D","C161523",""
"C14","0.1u","","Murata Electronics","GRM155R71H104KE14D","C77020",""
"C15","0.01u","DNP","KEMET","C0402C103J5RACTU","C2167955",""
"C16","0.01u","DNP","KEMET","C0402C103J5RACTU","C2167955",""
"C17","4.7u","","Murata Electronics","GRM188R61C475KAAJD","C86016",""
"C18","47n","","Murata Electronics","GRM155R71E473KA88D","C77017",""
"C19","47n","","Murata Electronics","GRM155R71E473KA88D","C77017",""
"C20","0.1u","","Murata Electronics","GRM155R71H104KE14D","C77020",""
"C21","0.1u","","Murata Electronics","GRM155R71H104KE14D","C77020",""
"C22","0.1u","DNP","Murata Electronics","GRM155R71H104KE14D","C77020",""
"C23","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C24","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C25","10u","","Murata Electronics","GRT188R61E106ME13D","C697423",""
"C26","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C27","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C28","10u","","Murata Electronics","GRT188R61E106ME13D","C697423",""
"C29","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C30","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C31","1n","DNP","Murata Electronics","GRM1555C1H102FA01D","C161523",""
"C32","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C33","10u","DNP","Murata Electronics","GRT188R61E106ME13D","C697423",""
"C34","10u","DNP","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C35","10u","","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C36","10u","DNP","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C37","10u","DNP","Murata Electronics","GRM21BR61E106KA73L","C84416",""
"C38","33u","DNP","Murata Electronics","ECASD41E336M040KA0","C2161642",""
"C39","33u","DNP","KEMET","T521D336M035ATE065","C696815",""
"C40","33u","DNP","Murata Electronics","ECASD41E336M040KA0","C2161642",""
"C41","47nF","","Murata Electronics","GRM155R71E473KA88D","C77017",""
"C42","1u","","Murata Electronics","GCM188R71C105KA64D","C161212",""
"C43","0.1u","","Murata Electronics","GRM155R71A104KA01D","C71687",""
"C44","0.1u","","Murata Electronics","GRM155R71A104KA01D","C71687",""
"C45","1u","","Murata Electronics","GCM188R71C105KA64D","C161212",""
"C46","390p","","YAGEO","CC0603JRX7R9BB391","C519518",""
"C47","390p","","YAGEO","CC0603JRX7R9BB391","C519518",""
"C48","3.3u","","Murata Electronics","GRM32DR71H335KA88L","C397310",""
"C49","100n","","Taiyo Yuden","GMK105BJ104KV-F","C187828",""
"C50","1u","","Samsung Electro-Mechanics","CL05A105KL5NRNC","C307413",""
"C51","1u","DNP","TDK Corporation","C1005X5R1V105K050BC","","445-9073-1-ND"
"C52","4.7u","","Murata Electronics","GRM188R61C475KAAJD","C86016",""
"C53","0.1u","","Murata Electronics","GRM155R71A104KA01D","C71687",""
"C54","0.1u","","Murata Electronics","GRM155R71A104KA01D","C71687",""
"C55","4.7u","","Murata Electronics","GRM188R61C475KAAJD","C86016",""
"C56","10u","","Murata Electronics","GRM21BR61E106MA73L","C391262",""
"C57","0.1u","","YAGEO","CC0603KRX7R9BB104","C14663",""
"C58","2.2u","","YAGEO","CC0805KKX7R9BB225","C125847",""
"C59","0.1u","","YAGEO","CC0603KRX7R9BB104","C14663",""
"C60","18p","DNP","","","",""
"C61","22u","","Murata Electronics","GRM21BR61A226ME44L","C441864",""
"C62","1u","","YAGEO","CC0805KKX7R9BB105","C91185",""
"C63","22u","","Murata Electronics","GRM21BR61A226ME44L","C441864",""
"C64","0.1u","","YAGEO","CC0603KRX7R9BB104","C14663",""
"D1","12V","","Diodes Incorporated","BZT52C12T-7","C507911",""
"D2","12V","","Diodes Incorporated","BZT52C12T-7","C507911",""
"D3","40V","DNP","Diodes Incorporated","ZLLS350TA","C139441",""
"D4","40V","DNP","Diodes Incorporated","ZLLS350TA","C139441",""
"D5","GREEN","","Lite-On Inc.","LTST-C190KGKT","C125094",""
"D6","40V","DNP","Diodes Incorporated","ZLLS350TA","C139441",""
"D7","12V","DNP","Diodes Incorporated","BZT52C12T-7","C507911",""
"D8","NZH10C-115","","Nexperia USA Inc.","NZH10C,115","C551630",""
"D9","RED","","Lite-On Inc.","LTST-C190EKT ","C364560",""
"D10","1N4148W","","Jiangsu Changjing Electronics Technology Co., Ltd.","1N4448W","C8601",""
"D11","WS2812B","","SparkFun Electronics"," COM-16347","C7433145",""
"D12","WS2812B","","SparkFun Electronics"," COM-16347","C7433145",""
"D13","WS2812B","","SparkFun Electronics"," COM-16347","C7433145",""
"D14","ESD441","","Texas Instruments","ESD441DPLR","C22427765",""
"D15","ESD441","","Texas Instruments","ESD441DPLR","C22427765",""
"J1","USB_C_16P_Connector","","Korean Hroparts Elec","TYPE-C-31-M-12","C165948",""
"J2","Batt_Connector","","Ningbo Kangnex Elec","WJ128V-5.0-2P","C8269","A98355-ND"
"J3","PV_Panel_Connector","","Ningbo Kangnex Elec","WJ128V-5.0-2P","C8269","A98355-ND"
"J4","Conn_01x10","","Molex","0436501000","","23-0436501000-ND"
"J5","PIR_CONNECTOR","","CJT(Changjiang Connectors)","A2541WR-3P","C225489",""
"J6","TFT_CONN","","","","",""
"J7","PN532_CONN","","","","",""
"J8","Keypad","","","","",""
"J9","GPIO_BREAKOUT","","","","",""
"L1","1.0u","","TDK Corporation","SPM6530T-1R0M120","C87572",""
"L2","4.7u","","Würth Elektronik","74437349047","C6404631","732-3354-1-ND"
"Q1","CSD17581Q3A","","Texas Instruments","CSD17581Q3AT","C2866708",""
"Q2","CSD17581Q3A","","Texas Instruments","CSD17581Q3AT","C2866708",""
"Q3","CSD17581Q3A","","Texas Instruments","CSD17581Q3AT","C2866708",""
"Q4","CSD17581Q3A","","Texas Instruments","CSD17581Q3AT","C2866708",""
"Q5","CSD17575Q3","","Texas Instruments","CSD17575Q3T","C2865030",""
"Q6","BC847BDW1","","onsemi","BC847BDW1T1G","C82368",""
"Q7","IRF9358TRPBF","","Infineon Technologies","IRF9358TRPBF","C537847",""
"Q8","BSL308PE","","","","",""
"Q9","NTR4503NT1G","","onsemi","NTR4503NT1G","C94763",""
"R1","3.3k","","","","",""
"R2","2.2k","","","","",""
"R3","2.2k","","","","",""
"R4","10k","","","","",""
"R5","0.01","","Vishay Dale","WSL2010R0100FEA18","C844898",""
"R6","0.01","","Vishay Dale","WSL2010R0100FEA18","C844898",""
"R7","10k","","","","",""
"R8","100k","DNP","YAGEO","RC0402FR-07100KL","C60491",""
"R9","100k","DNP","YAGEO","RC0402FR-07100KL","C60491",""
"R10","0","DNP","","","",""
"R11","0","DNP","","","",""
"R12","0","","","","",""
"R13","294","","YAGEO","RC0603FR-07294RL","C185345",""
"R14","294","","YAGEO","RC0603FR-07294RL","C185345",""
"R15","17.4k","","","","",""
"R16","2.2k","","","","",""
"R17","0","","Vishay Dale","CRCW06030000Z0EA","C844915",""
"R18","100k","DNP","","","",""
"R19","0","DNP","Keystone Electronics","5106","C2073530","36-5106CT-ND"
"R20","100","","YAGEO","RC0603FR-07100RL","C105588",""
"R21","0.01","","Vishay Dale","WSL2010R0100FEA18","C844898",""
"R22","0.01","","Vishay Dale","WSL2010R0100FEA18","C844898",""
"R23","5.23k","","Vishay Dale","CRCW04025K23FKED","C2076550",""
"R24","30.1k","","YAGEO","RC0402FR-0730K1L","C138009",""
"R25","10k","","","","",""
"R26","0","","","","",""
"R27","10k","","","","",""
"R28","0","","","","",""
"R29","0","","","","",""
"R30","49.9k","","KOA Speer Electronics, Inc.","RK73H1ETTP4992F","C173335",""
"R31","5k","","Vishay Dale","CRCW06034K99FKEA","C844793",""
"R32","1k","","Vishay Dale","CRCW06031K00FKEA","C844920",""
"R33","5k","","Vishay Dale","CRCW06034K99FKEA","C844793",""
"R34","2.4k","","Panasonic Electronic Components","ERJ-3GEYJ242V","C403460",""
"R35","5k","","Vishay Dale","CRCW06034K99FKEA","C844793",""
"R36","5k","","Vishay Dale","CRCW06034K99FKEA","C844793",""
"R37","DNP","DNP","","","",""
"R38","1k","","Vishay Dale","CRCW06031K00FKEA","C844920",""
"R39","10k","","YAGEO","RC0402JR-0710KL ","C60489",""
"R40","0","","YAGEO","RC0402FR-070RL ","C106231",""
"R41","1k","","YAGEO","RC0402JR-071KL","C105637",""
"R42","49.9k","","KOA Speer Electronics, Inc.","RK73H1ETTP4992F","C173335",""
"R43","1k","","YAGEO","RC0402JR-071KL","C105637",""
"R44","2k","","","","",""
"R45","2k","","","","",""
"R46","0","DNP","","","",""
"R47","100k","","Panasonic Electronic Components","ERJ-P06F1003V","C441992",""
"R48","1k","","Vishay Dale","CRCW06031K00FKEA","C844920",""
"R49","47.5k","","","","",""
"R50","22.1k","","","","",""
"R51","1k","","","","",""
"R52","0","","","","",""
"R53","0","","","","",""
"R54","10k","DNP","","","",""
"R55","100k","","Vishay Dale","CRCW0603100KJNEA","C844723",""
"R56","220k","","YAGEO","RC0603FR-07220KL","C123420",""
"R57","30k","","YAGEO","RC0603FR-0730KL","C100001",""
"R58","10k","","","","",""
"R59","10k","","","","",""
"R60","10k","","","","",""
"R61","10k","","","","",""
"R62","0","","Vishay Dale"," CRCW06030000Z0EA","C844915",""
"RT1","103AT-2","","Semitec","","",""
"SW1","QON","","C&K","PTS647SM38SMTR2 LFS","","PTS647SM38SMTR2LFSCT-ND"
"SW2","BOOT","","C&K","PTS647SM38SMTR2 LFS","","PTS647SM38SMTR2LFSCT-ND"
"SW3","RST","","C&K","PTS647SM38SMTR2 LFS","","PTS647SM38SMTR2LFSCT-ND"
"TP1","RED","","Keystone Electronics","5010"," C2906765",""
"TP2","RED","","Keystone Electronics","5010"," C2906765",""
"TP3","RED","","Keystone Electronics","5010"," C2906765",""
"TP4","RED","","Keystone Electronics","5010"," C2906765",""
"TP5","RED","","Keystone Electronics","5010"," C2906765",""
"TP6","RED","","Keystone Electronics","5010"," C2906765",""
"TP7","RED","","Keystone Electronics","5010"," C2906765",""
"TP8","BLACK","","Keystone Electronics","5011","C238127",""
"TP9","BLACK","","Keystone Electronics","5011","C238127",""
"U1","ESP32-C6-WROOM-1-N8","","Espressif Systems","ESP32-C6-WROOM-1-N8","C5366877",""
"U2","BQ25798RQMR","","Texas Instruments","BQ25798RQMR","C2876593",""
"U3","CYPD3177-24LQXQT","","Infineon Technologies","CYPD3177-24LQXQT","C2952489",""
"U4","CP2102N-A02-xQFN28","","Silicon Labs","CP2102N-A02-GQFN28","C1550553",""
"U5","TPS563203","","Texas Instruments","TPS563203DRLR","C22445512",""
"U6","TLV76733DGNR","","Texas Instruments","TLV76733DGNR","C2873382",""
"U7","PCF8574","","Texas Instruments","PCF8574N","C2879047",""
"U8","ESD122","","Texas Instruments","ESD122DMYR","C1975871",""
"U9","TVS2200DRV","","Texas Instruments","TVS2200DRVR","C523793",""
